service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180208,20180419
2,0,1,1,1,1,1,0,20180209,20180219
3,0,0,0,0,0,1,0,20180208,20180419
4,0,0,0,0,0,0,1,20180209,20180219
5,0,0,0,0,0,0,1,20180208,20180419
6,1,0,0,0,0,0,0,20180209,20180219
7,1,1,1,1,0,0,0,20180208,20180419
8,0,1,1,1,1,0,0,20180209,20180219
9,0,0,0,0,1,0,0,20180208,20180419
10,0,0,0,0,0,1,0,20180209,20180219
11,0,0,0,0,0,1,0,20180208,20180216
12,0,0,0,0,0,0,1,20180209,20180217
13,0,0,0,0,0,1,0,20180217,20180419
14,0,0,0,0,0,0,1,20180218,20180219
15,0,0,0,0,0,0,1,20180208,20180217
16,1,0,0,0,0,0,0,20180209,20180419
17,0,0,0,0,0,0,1,20180218,20180419
18,1,0,0,0,0,0,0,20180219,20180219
19,1,1,1,1,0,0,0,20180208,20180211
20,0,1,1,1,1,0,0,20180209,20180212
21,1,1,1,1,0,0,0,20180212,20180419
22,0,1,1,1,1,0,0,20180213,20180219
23,0,0,0,0,1,0,0,20180208,20180215
24,0,0,0,0,0,1,0,20180209,20180216
25,0,0,0,0,1,0,0,20180216,20180419
26,0,0,0,0,0,1,0,20180217,20180219
27,1,1,1,1,0,0,0,20180208,20180212
28,0,1,1,1,1,0,0,20180209,20180213
29,1,1,1,1,0,0,0,20180213,20180419
30,0,1,1,1,1,0,0,20180214,20180219
31,1,1,1,1,1,1,1,20180208,20180419
32,1,1,1,1,1,0,0,20180208,20180211
33,1,1,1,1,1,0,0,20180212,20180419
34,0,1,1,1,1,1,0,20180209,20180212
35,0,1,1,1,1,1,0,20180213,20180219
36,0,0,0,0,0,1,1,20180208,20180419
37,1,0,0,0,0,0,1,20180209,20180219
38,1,1,1,1,1,0,0,20180208,20180208
39,0,1,1,1,1,1,0,20180209,20180209
40,1,1,1,1,1,0,0,20180209,20180211
41,0,1,1,1,1,1,0,20180210,20180212
42,1,1,1,1,1,0,0,20180208,20180214
43,0,1,1,1,1,1,0,20180209,20180215
44,1,1,1,1,1,0,0,20180215,20180419
45,0,1,1,1,1,1,0,20180216,20180219
46,0,0,0,0,0,1,1,20180208,20180211
47,0,0,0,0,0,1,1,20180217,20180419
48,1,1,1,1,1,0,0,20180208,20180209
49,0,1,1,1,1,1,0,20180209,20180210
50,1,1,1,1,1,0,0,20180212,20180214
51,0,1,1,1,1,1,0,20180213,20180215
52,0,0,0,0,0,1,0,20180208,20180210
53,0,0,0,0,0,0,1,20180209,20180211
54,1,1,1,1,1,0,0,20180208,20180419
55,1,0,0,0,0,0,1,20180218,20180219
56,1,0,0,0,0,0,1,20180209,20180212
57,0,0,0,0,0,0,1,20180209,20180215
58,1,0,0,0,0,0,0,20180209,20180215
59,0,1,1,1,1,0,0,20180209,20180215
60,0,1,1,1,1,0,0,20180216,20180219
61,0,0,0,0,0,1,0,20180209,20180215
62,0,0,0,0,0,1,0,20180208,20180214
63,0,0,0,0,0,0,1,20180216,20180219
64,0,0,0,0,0,1,0,20180215,20180419
65,0,0,0,0,0,0,1,20180208,20180214
66,1,0,0,0,0,0,0,20180216,20180219
67,0,0,0,0,0,0,1,20180215,20180419
68,0,1,1,1,1,0,0,20180209,20180209
69,1,1,1,1,0,0,0,20180208,20180208
70,1,1,1,1,1,0,0,20180208,20180419
71,0,0,0,0,0,1,1,20180208,20180216
